0000000000_0000000000_0000,0000000000_0000000000_0000,1,100
0000000000_0000000002_0000,0000000000_0000000000_0000,2,2
0000000000_0000000003_0000,0000000000_0000000000_0000,2,0
0000000000_0000000004_0000,0000000000_0000000000_0000,2,0
0000000000_0000000005_0000,0000000000_0000000000_0000,2,0
0000000000_0000000006_0000,0000000000_0000000000_0000,2,0
0000000000_0000000007_0000,0000000000_0000000000_0000,2,1
0000000000_0000000008_0000,0000000000_0000000000_0000,2,1
0000000000_0000000009_0000,0000000000_0000000000_0000,2,1
0000000000_0000000010_0000,0000000000_0000000000_0000,2,0
0000000000_0000000011_0000,0000000000_0000000000_0000,2,1
0000000000_0000000012_0000,0000000000_0000000000_0000,2,61
0000000000_0000000013_0000,0000000000_0000000000_0000,2,0
0000000000_0000000014_0000,0000000000_0000000012_0000,3,60
0000000000_0000000015_0000,0000000000_0000000088_0000,9,92
0000000000_0000000016_0000,0000000000_0000000017_0000,7,94
0000000000_0000000017_0000,0000000000_0000000031_0000,6,95
0000000000_0000000018_0000,0000000000_0000000015_0000,10,1
0000000000_0000000019_0000,0000000000_0000000020_0000,5,8
0000000000_0000000020_0000,0000000000_0000000014_0000,4,9
0000000000_0000000021_0000,0000000000_0000000014_0000,4,6
0000000000_0000000022_0000,0000000000_0000000213_0000,9,54
0000000000_0000000023_0000,0000000000_0000000015_0000,10,31
0000000000_0000000024_0000,0000000000_0000000014_0000,4,2
0000000000_0000000025_0000,0000000000_0000000015_0000,10,8
0000000000_0000000026_0000,0000000000_0000000000_0000,2,99
0000000000_0000000027_0000,0000000000_0000000026_0000,3,98
0000000000_0000000028_0000,0000000000_0000000050_0000,5,10
0000000000_0000000029_0000,0000000000_0000000027_0000,4,10
0000000000_0000000030_0000,0000000000_0000000027_0000,4,23
0000000000_0000000031_0000,0000000000_0000000050_0000,5,96
0000000000_0000000032_0000,0000000000_0000000028_0000,6,9
0000000000_0000000033_0000,0000000000_0000000029_0000,5,9
0000000000_0000000034_0000,0000000000_0000000040_0000,9,4
0000000000_0000000035_0000,0000000000_0000000014_0000,4,59
0000000000_0000000036_0000,0000000000_0000000014_0000,4,27
0000000000_0000000037_0000,0000000000_0000000036_0000,5,26
0000000000_0000000038_0000,0000000000_0000000034_0000,10,3
0000000000_0000000039_0000,0000000000_0000000053_0000,8,7
0000000000_0000000040_0000,0000000000_0000000041_0000,8,5
0000000000_0000000041_0000,0000000000_0000000049_0000,7,6
0000000000_0000000042_0000,0000000000_0000000089_0000,5,8
0000000000_0000000043_0000,0000000000_0000000015_0000,10,0
0000000000_0000000044_0000,0000000000_0000000038_0000,11,1
0000000000_0000000045_0000,0000000000_0000000015_0000,10,1
0000000000_0000000046_0000,0000000000_0000000015_0000,10,0
0000000000_0000000047_0000,0000000000_0000000048_0000,6,2
0000000000_0000000048_0000,0000000000_0000000050_0000,5,3
0000000000_0000000049_0000,0000000000_0000000042_0000,6,7
0000000000_0000000050_0000,0000000000_0000000027_0000,4,97
0000000000_0000000051_0000,0000000000_0000000033_0000,6,8
0000000000_0000000052_0000,0000000000_0000000053_0000,8,3
0000000000_0000000053_0000,0000000000_0000000032_0000,7,8
0000000000_0000000054_0000,0000000000_0000000015_0000,10,0
0000000000_0000000055_0000,0000000000_0000000015_0000,10,1
0000000000_0000000056_0000,0000000000_0000000015_0000,10,1
0000000000_0000000057_0000,0000000000_0000000015_0000,10,0
0000000000_0000000058_0000,0000000000_0000000015_0000,10,0
0000000000_0000000059_0000,0000000000_0000000015_0000,10,2
0000000000_0000000060_0000,0000000000_0000000015_0000,10,27
0000000000_0000000061_0000,0000000000_0000000015_0000,10,0
0000000000_0000000062_0000,0000000000_0000000015_0000,10,0
0000000000_0000000063_0000,0000000000_0000000015_0000,10,14
0000000000_0000000064_0000,0000000000_0000000015_0000,10,0
0000000000_0000000065_0000,0000000000_0000000015_0000,10,0
0000000000_0000000066_0000,0000000000_0000000015_0000,10,1
0000000000_0000000067_0000,0000000000_0000000015_0000,10,3
0000000000_0000000068_0000,0000000000_0000000015_0000,10,1
0000000000_0000000069_0000,0000000000_0000000167_0000,11,2
0000000000_0000000070_0000,0000000000_0000000015_0000,10,3
0000000000_0000000071_0000,0000000000_0000000015_0000,10,0
0000000000_0000000072_0000,0000000000_0000000015_0000,10,1
0000000000_0000000073_0000,0000000000_0000000015_0000,10,0
0000000000_0000000074_0000,0000000000_0000000015_0000,10,0
0000000000_0000000075_0000,0000000000_0000000015_0000,10,0
0000000000_0000000076_0000,0000000000_0000000015_0000,10,1
0000000000_0000000077_0000,0000000000_0000000015_0000,10,1
0000000000_0000000078_0000,0000000000_0000000015_0000,10,0
0000000000_0000000079_0000,0000000000_0000000015_0000,10,1
0000000000_0000000080_0000,0000000000_0000000015_0000,10,0
0000000000_0000000081_0000,0000000000_0000000000_0000,2,1
0000000000_0000000082_0000,0000000000_0000000015_0000,10,0
0000000000_0000000083_0000,0000000000_0000000015_0000,10,0
0000000000_0000000084_0000,0000000000_0000000015_0000,10,0
0000000000_0000000085_0000,0000000000_0000000015_0000,10,3
0000000000_0000000086_0000,0000000000_0000000015_0000,10,1
0000000000_0000000087_0000,0000000000_0000000015_0000,10,0
0000000000_0000000088_0000,0000000000_0000000016_0000,8,93
0000000000_0000000089_0000,0000000000_0000000014_0000,4,9
0000000000_0000000090_0000,0000000000_0000000052_0000,9,1
0000000000_0000000091_0000,0000000000_0000000017_0000,7,0
0000000000_0000000092_0000,0000000000_0000000021_0000,5,3
0000000000_0000000093_0000,0000000000_0000000015_0000,10,0
0000000000_0000000094_0000,0000000000_0000000015_0000,10,0
0000000000_0000000095_0000,0000000000_0000000015_0000,10,0
0000000000_0000000096_0000,0000000000_0000000015_0000,10,0
0000000000_0000000097_0000,0000000000_0000000015_0000,10,11
0000000000_0000000098_0000,0000000000_0000000097_0000,11,10
0000000000_0000000099_0000,0000000000_0000000021_0000,5,0
0000000000_0000000100_0000,0000000000_0000000021_0000,5,0
0000000000_0000000101_0000,0000000000_0000000021_0000,5,5
0000000000_0000000102_0000,0000000000_0000000101_0000,6,4
0000000000_0000000103_0000,0000000000_0000000024_0000,5,1
0000000000_0000000104_0000,0000000000_0000000153_0000,6,57
0000000000_0000000105_0000,0000000000_0000000102_0000,7,3
0000000000_0000000106_0000,0000000000_0000000105_0000,8,1
0000000000_0000000107_0000,0000000000_0000000105_0000,8,2
0000000000_0000000108_0000,0000000000_0000000105_0000,8,1
0000000000_0000000109_0000,0000000000_0000014546_0000,28,2
0000000000_0000000110_0000,0000000000_0000000109_0000,29,1
0000000000_0000000111_0000,0000000000_0000000105_0000,8,2
0000000000_0000000112_0000,0000000000_0000000111_0000,9,1
0000000000_0000000113_0000,0000000000_0000000105_0000,8,0
0000000000_0000000114_0000,0000000000_0000000106_0000,9,0
0000000000_0000000115_0000,0000000000_0000000105_0000,8,0
0000000000_0000000116_0000,0000000000_0000000105_0000,8,1
0000000000_0000000117_0000,0000000000_0000000107_0000,9,1
0000000000_0000000118_0000,0000000000_0000000107_0000,9,0
0000000000_0000000119_0000,0000000000_0000000105_0000,8,2
0000000000_0000000120_0000,0000000000_0000000119_0000,9,0
0000000000_0000000121_0000,0000000000_0000000105_0000,8,2
0000000000_0000000122_0000,0000000000_0000000119_0000,9,0
0000000000_0000000123_0000,0000000000_0000000119_0000,9,1
0000000000_0000000124_0000,0000000000_0000000022_0000,10,53
0000000000_0000000125_0000,0000000000_0000000106_0000,9,0
0000000000_0000000126_0000,0000000000_0000000067_0000,11,2
0000000000_0000000127_0000,0000000000_0000000126_0000,12,0
0000000000_0000000128_0000,0000000000_0000000014_0000,4,0
0000000000_0000000129_0000,0000000000_0000000102_0000,7,0
0000000000_0000000130_0000,0000000000_0000000098_0000,12,9
0000000000_0000000131_0000,0000000000_0000000130_0000,13,8
0000000000_0000000132_0000,0000000000_0000000104_0000,7,56
0000000000_0000000133_0000,0000000000_0000000014_0000,4,0
0000000000_0000000134_0000,0000000000_0000000014_0000,4,17
0000000000_0000000135_0000,0000000000_0000000134_0000,5,16
0000000000_0000000136_0000,0000000000_0000000135_0000,6,15
0000000000_0000000137_0000,0000000000_0000000136_0000,7,14
0000000000_0000000138_0000,0000000000_0000000015_0000,10,1
0000000000_0000000139_0000,0000000000_0000000015_0000,10,1
0000000000_0000000140_0000,0000000000_0000000015_0000,10,1
0000000000_0000000141_0000,0000000000_0000000144_0000,6,21
0000000000_0000000142_0000,0000000000_0000000015_0000,10,1
0000000000_0000000143_0000,0000000000_0000000016_0000,8,0
0000000000_0000000144_0000,0000000000_0000000030_0000,5,22
0000000000_0000000145_0000,0000000000_0000000137_0000,8,10
0000000000_0000000146_0000,0000000000_0000000145_0000,9,9
0000000000_0000000147_0000,0000000000_0000000146_0000,10,8
0000000000_0000000148_0000,0000000000_0000000147_0000,11,7
0000000000_0000000149_0000,0000000000_0000000148_0000,12,6
0000000000_0000000150_0000,0000000000_0000000679_0000,21,7
0000000000_0000000151_0000,0000000000_0000000015_0000,10,0
0000000000_0000000152_0000,0000000000_0000000149_0000,13,3
0000000000_0000000153_0000,0000000000_0000000035_0000,5,58
0000000000_0000000154_0000,0000000000_0000000022_0000,10,0
0000000000_0000000155_0000,0000000000_0000000022_0000,10,0
0000000000_0000000156_0000,0000000000_0000000035_0000,5,0
0000000000_0000000157_0000,0000000000_0000000022_0000,10,17
0000000000_0000000158_0000,0000000000_0000000016_0000,8,0
0000000000_0000000159_0000,0000000000_0000000014_0000,4,6
0000000000_0000000160_0000,0000000000_0000000159_0000,5,5
0000000000_0000000161_0000,0000000000_0000000160_0000,6,4
0000000000_0000000162_0000,0000000000_0000000161_0000,7,0
0000000000_0000000163_0000,0000000000_0000000015_0000,10,0
0000000000_0000000164_0000,0000000000_0000000015_0000,10,0
0000000000_0000000165_0000,0000000000_0000000021_0000,5,3
0000000000_0000000166_0000,0000000000_0000000015_0000,10,2
0000000000_0000000167_0000,0000000000_0000000015_0000,10,23
0000000000_0000000168_0000,0000000000_0000000022_0000,10,0
0000000000_0000000169_0000,0000000000_0000000159_0000,5,0
0000000000_0000000170_0000,0000000000_0000000159_0000,5,0
0000000000_0000000171_0000,0000000000_0000000159_0000,5,2
0000000000_0000000172_0000,0000000000_0000000159_0000,5,0
0000000000_0000000173_0000,0000000000_0000000161_0000,7,0
0000000000_0000000174_0000,0000000000_0000000159_0000,5,2
0000000000_0000000175_0000,0000000000_0000000149_0000,13,4
0000000000_0000000176_0000,0000000000_0000000014_0000,4,0
0000000000_0000000177_0000,0000000000_0000000000_0000,2,0
0000000000_0000000178_0000,0000000000_0000000000_0000,2,0
0000000000_0000000179_0000,0000000000_0000000015_0000,10,6
0000000000_0000000180_0000,0000000000_0000000179_0000,11,5
0000000000_0000000181_0000,0000000000_0000000015_0000,10,2
0000000000_0000000182_0000,0000000000_0000000015_0000,10,28
0000000000_0000000183_0000,0000000000_0000000182_0000,11,1
0000000000_0000000184_0000,0000000000_0000000180_0000,12,0
0000000000_0000000185_0000,0000000000_0000000037_0000,6,25
0000000000_0000000186_0000,0000000000_0000000185_0000,7,0
0000000000_0000000187_0000,0000000000_0000006862_0000,16,0
0000000000_0000000188_0000,0000000000_0000000015_0000,10,91
0000000000_0000000189_0000,0000000000_0000000188_0000,11,19
0000000000_0000000190_0000,0000000000_0000000149_0000,13,3
0000000000_0000000191_0000,0000000000_0000000015_0000,10,1
0000000000_0000000192_0000,0000000000_0000000182_0000,11,1
0000000000_0000000193_0000,0000000000_0000000182_0000,11,0
0000000000_0000000194_0000,0000000000_0000000161_0000,7,0
0000000000_0000000195_0000,0000000000_0000000161_0000,7,3
0000000000_0000000196_0000,0000000000_0000000161_0000,7,1
0000000000_0000000197_0000,0000000000_0000000161_0000,7,1
0000000000_0000000198_0000,0000000000_0000000192_0000,12,0
0000000000_0000000199_0000,0000000000_0000000160_0000,6,0
0000000000_0000000200_0000,0000000000_0000000015_0000,10,0
0000000000_0000000201_0000,0000000000_0000000180_0000,12,1
0000000000_0000000202_0000,0000000000_0000000015_0000,10,0
0000000000_0000000203_0000,0000000000_0000000180_0000,12,2
0000000000_0000000204_0000,0000000000_0000000180_0000,12,0
0000000000_0000000205_0000,0000000000_0000000203_0000,13,1
0000000000_0000000206_0000,0000000000_0000000015_0000,10,0
0000000000_0000000207_0000,0000000000_0000000161_0000,7,0
0000000000_0000000208_0000,0000000000_0000000124_0000,11,52
0000000000_0000000209_0000,0000000000_0000000014_0000,4,0
0000000000_0000000210_0000,0000000000_0000000161_0000,7,0
0000000000_0000000211_0000,0000000000_0000000161_0000,7,0
0000000000_0000000212_0000,0000000000_0000000014_0000,4,24
0000000000_0000000213_0000,0000000000_0000000132_0000,8,55
0000000000_0000000214_0000,0000000000_0000000208_0000,12,1
0000000000_0000000215_0000,0000000000_0000000015_0000,10,0
0000000000_0000000216_0000,0000000000_0000000015_0000,10,0
0000000000_0000000217_0000,0000000000_0000000015_0000,10,0
0000000000_0000000218_0000,0000000000_0000000015_0000,10,2
0000000000_0000000219_0000,0000000000_0000000218_0000,11,1
0000000000_0000000220_0000,0000000000_0000000015_0000,10,0
0000000000_0000000221_0000,0000000000_0000000540_0000,13,0
0000000000_0000000222_0000,0000000000_0000000124_0000,11,0
0000000000_0000000223_0000,0000000000_0000000161_0000,7,0
0000000000_0000000224_0000,0000000000_0000000035_0000,5,0
0000000000_0000000225_0000,0000000000_0000000208_0000,12,0
0000000000_0000000226_0000,0000000000_0000000015_0000,10,0
0000000000_0000000227_0000,0000000000_0000000180_0000,12,0
0000000000_0000000228_0000,0000000000_0000000016_0000,8,3
0000000000_0000000229_0000,0000000000_0000000228_0000,9,0
0000000000_0000000230_0000,0000000000_0000000208_0000,12,0
0000000000_0000000231_0000,0000000000_0000000208_0000,12,0
0000000000_0000000232_0000,0000000000_0000000035_0000,5,0
0000000000_0000000233_0000,0000000000_0000000260_0000,13,18
0000000000_0000000234_0000,0000000000_0000000212_0000,5,23
0000000000_0000000235_0000,0000000000_0000000104_0000,7,1
0000000000_0000000236_0000,0000000000_0000000104_0000,7,0
0000000000_0000000237_0000,0000000000_0000000104_0000,7,0
0000000000_0000000238_0000,0000000000_0000000104_0000,7,9
0000000000_0000000239_0000,0000000000_0000000104_0000,7,0
0000000000_0000000240_0000,0000000000_0000000014_0000,4,16
0000000000_0000000241_0000,0000000000_0000000240_0000,5,2
0000000000_0000000242_0000,0000000000_0000000000_0000,2,0
0000000000_0000000243_0000,0000000000_0000000014_0000,4,3
0000000000_0000000244_0000,0000000000_0000000180_0000,12,0
0000000000_0000000245_0000,0000000000_0000000240_0000,5,0
0000000000_0000000246_0000,0000000000_0000000240_0000,5,8
0000000000_0000000247_0000,0000000000_0000000240_0000,5,2
0000000000_0000000248_0000,0000000000_0000000015_0000,10,0
0000000000_0000000249_0000,0000000000_0000000208_0000,12,5
0000000000_0000000250_0000,0000000000_0000000016_0000,8,0
0000000000_0000000251_0000,0000000000_0000000240_0000,5,1
0000000000_0000000252_0000,0000000000_0000000014_0000,4,0
0000000000_0000000253_0000,0000000000_0000000240_0000,5,0
0000000000_0000000254_0000,0000000000_0000000015_0000,10,0
0000000000_0000000255_0000,0000000000_0000000157_0000,11,1
0000000000_0000000256_0000,0000000000_0000000014_0000,4,1
0000000000_0000000257_0000,0000000000_0000000256_0000,5,0
0000000000_0000000258_0000,0000000000_0000000157_0000,11,11
0000000000_0000000259_0000,0000000000_0000000240_0000,5,0
0000000000_0000000260_0000,0000000000_0000000208_0000,12,19
0000000000_0000000261_0000,0000000000_0000000240_0000,5,1
0000000000_0000000262_0000,0000000000_0000000012_0000,3,3
0000000000_0000000263_0000,0000000000_0000000012_0000,3,3
0000000000_0000000264_0000,0000000000_0000000262_0000,4,0
0000000000_0000000265_0000,0000000000_0000000262_0000,4,0
0000000000_0000000266_0000,0000000000_0000000180_0000,12,4
0000000000_0000000267_0000,0000000000_0000000262_0000,4,0
0000000000_0000000268_0000,0000000000_0000000262_0000,4,0
0000000000_0000000269_0000,0000000000_0000000262_0000,4,0
0000000000_0000000270_0000,0000000000_0000000262_0000,4,0
0000000000_0000000271_0000,0000000000_0000000262_0000,4,0
0000000000_0000000272_0000,0000000000_0000000262_0000,4,0
0000000000_0000000273_0000,0000000000_0000000263_0000,4,0
0000000000_0000000274_0000,0000000000_0000000262_0000,4,0
0000000000_0000000275_0000,0000000000_0000000262_0000,4,0
0000000000_0000000276_0000,0000000000_0000000263_0000,4,0
0000000000_0000000277_0000,0000000000_0000002415_0000,3,0
0000000000_0000000278_0000,0000000000_0000000262_0000,4,0
0000000000_0000000279_0000,0000000000_0000000263_0000,4,2
0000000000_0000000280_0000,0000000000_0000000262_0000,4,0
0000000000_0000000281_0000,0000000000_0000000262_0000,4,0
0000000000_0000000282_0000,0000000000_0000000262_0000,4,0
0000000000_0000000283_0000,0000000000_0000000262_0000,4,0
0000000000_0000000284_0000,0000000000_0000000262_0000,4,0
0000000000_0000000285_0000,0000000000_0000000262_0000,4,0
0000000000_0000000286_0000,0000000000_0000000263_0000,4,0
0000000000_0000000287_0000,0000000000_0000000262_0000,4,0
0000000000_0000000288_0000,0000000000_0000000263_0000,4,0
0000000000_0000000289_0000,0000000000_0000000262_0000,4,0
0000000000_0000000290_0000,0000000000_0000000263_0000,4,1
0000000000_0000000291_0000,0000000000_0000000262_0000,4,0
0000000000_0000000292_0000,0000000000_0000000262_0000,4,2
0000000000_0000000293_0000,0000000000_0000000263_0000,4,0
0000000000_0000000294_0000,0000000000_0000000262_0000,4,0
0000000000_0000000295_0000,0000000000_0000000262_0000,4,0
0000000000_0000000296_0000,0000000000_0000000263_0000,4,0
0000000000_0000000297_0000,0000000000_0000000262_0000,4,0
0000000000_0000000298_0000,0000000000_0000000262_0000,4,0
0000000000_0000000299_0000,0000000000_0000000263_0000,4,0
0000000000_0000000300_0000,0000000000_0000000262_0000,4,0
0000000000_0000000301_0000,0000000000_0000000258_0000,12,5
0000000000_0000000302_0000,0000000000_0000000262_0000,4,0
0000000000_0000000303_0000,0000000000_0000000263_0000,4,0
0000000000_0000000304_0000,0000000000_0000000262_0000,4,0
0000000000_0000000305_0000,0000000000_0000000263_0000,4,0
0000000000_0000000306_0000,0000000000_0000000262_0000,4,0
0000000000_0000000307_0000,0000000000_0000000262_0000,4,1
0000000000_0000000308_0000,0000000000_0000000262_0000,4,0
0000000000_0000000309_0000,0000000000_0000000262_0000,4,0
0000000000_0000000310_0000,0000000000_0000000263_0000,4,0
0000000000_0000000311_0000,0000000000_0000000262_0000,4,0
0000000000_0000000312_0000,0000000000_0000000262_0000,4,0
0000000000_0000000313_0000,0000000000_0000000263_0000,4,0
0000000000_0000000314_0000,0000000000_0000000263_0000,4,0
0000000000_0000000315_0000,0000000000_0000000263_0000,4,0
0000000000_0000000316_0000,0000000000_0000000262_0000,4,0
0000000000_0000000317_0000,0000000000_0000000263_0000,4,0
0000000000_0000000318_0000,0000000000_0000000262_0000,4,0
0000000000_0000000319_0000,0000000000_0000000262_0000,4,0
0000000000_0000000320_0000,0000000000_0000000263_0000,4,0
0000000000_0000000321_0000,0000000000_0000000262_0000,4,1
0000000000_0000000322_0000,0000000000_0000000263_0000,4,0
0000000000_0000000323_0000,0000000000_0000000262_0000,4,0
0000000000_0000000324_0000,0000000000_0000000262_0000,4,0
0000000000_0000000325_0000,0000000000_0000000263_0000,4,0
0000000000_0000000326_0000,0000000000_0000000262_0000,4,1
0000000000_0000000327_0000,0000000000_0000000263_0000,4,0
0000000000_0000000328_0000,0000000000_0000000262_0000,4,0
0000000000_0000000329_0000,0000000000_0000000262_0000,4,0
0000000000_0000000330_0000,0000000000_0000000262_0000,4,0
0000000000_0000000331_0000,0000000000_0000000262_0000,4,0
0000000000_0000000332_0000,0000000000_0000000262_0000,4,0
0000000000_0000000333_0000,0000000000_0000000263_0000,4,1
0000000000_0000000334_0000,0000000000_0000000262_0000,4,0
0000000000_0000000335_0000,0000000000_0000000262_0000,4,0
0000000000_0000000336_0000,0000000000_0000000262_0000,4,0
0000000000_0000000337_0000,0000000000_0000000262_0000,4,0
0000000000_0000000338_0000,0000000000_0000000262_0000,4,0
0000000000_0000000339_0000,0000000000_0000000262_0000,4,0
0000000000_0000000340_0000,0000000000_0000000262_0000,4,0
0000000000_0000000341_0000,0000000000_0000000262_0000,4,0
0000000000_0000000342_0000,0000000000_0000000262_0000,4,0
0000000000_0000000343_0000,0000000000_0000000262_0000,4,0
0000000000_0000000344_0000,0000000000_0000000262_0000,4,0
0000000000_0000000345_0000,0000000000_0000000263_0000,4,0
0000000000_0000000346_0000,0000000000_0000000262_0000,4,0
0000000000_0000000347_0000,0000000000_0000000262_0000,4,0
0000000000_0000000348_0000,0000000000_0000000263_0000,4,0
0000000000_0000000349_0000,0000000000_0000000262_0000,4,0
0000000000_0000000350_0000,0000000000_0000000262_0000,4,0
0000000000_0000000351_0000,0000000000_0000000263_0000,4,0
0000000000_0000000352_0000,0000000000_0000000262_0000,4,0
0000000000_0000000353_0000,0000000000_0000000262_0000,4,0
0000000000_0000000354_0000,0000000000_0000000262_0000,4,0
0000000000_0000000355_0000,0000000000_0000000263_0000,4,0
0000000000_0000000356_0000,0000000000_0000000262_0000,4,0
0000000000_0000000357_0000,0000000000_0000000262_0000,4,0
0000000000_0000000358_0000,0000000000_0000000262_0000,4,0
0000000000_0000000359_0000,0000000000_0000000262_0000,4,0
0000000000_0000000360_0000,0000000000_0000000263_0000,4,0
0000000000_0000000361_0000,0000000000_0000000262_0000,4,0
0000000000_0000000362_0000,0000000000_0000000262_0000,4,0
0000000000_0000000363_0000,0000000000_0000000262_0000,4,0
0000000000_0000000364_0000,0000000000_0000000262_0000,4,0
0000000000_0000000365_0000,0000000000_0000000263_0000,4,1
0000000000_0000000366_0000,0000000000_0000000262_0000,4,0
0000000000_0000000367_0000,0000000000_0000000262_0000,4,1
0000000000_0000000368_0000,0000000000_0000000262_0000,4,0
0000000000_0000000369_0000,0000000000_0000000262_0000,4,1
0000000000_0000000370_0000,0000000000_0000000263_0000,4,0
0000000000_0000000371_0000,0000000000_0000000262_0000,4,1
0000000000_0000000372_0000,0000000000_0000000263_0000,4,1
0000000000_0000000373_0000,0000000000_0000000262_0000,4,0
0000000000_0000000374_0000,0000000000_0000000262_0000,4,0
0000000000_0000000375_0000,0000000000_0000000263_0000,4,0
0000000000_0000000376_0000,0000000000_0000000262_0000,4,1
0000000000_0000000377_0000,0000000000_0000000262_0000,4,0
0000000000_0000000378_0000,0000000000_0000000263_0000,4,0
0000000000_0000000379_0000,0000000000_0000000263_0000,4,1
0000000000_0000000380_0000,0000000000_0000000263_0000,4,1
0000000000_0000000381_0000,0000000000_0000000262_0000,4,0
0000000000_0000000382_0000,0000000000_0000000263_0000,4,0
0000000000_0000000383_0000,0000000000_0000000262_0000,4,0
0000000000_0000000384_0000,0000000000_0000000263_0000,4,0
0000000000_0000000385_0000,0000000000_0000000263_0000,4,0
0000000000_0000000386_0000,0000000000_0000000262_0000,4,0
0000000000_0000000387_0000,0000000000_0000000262_0000,4,0
0000000000_0000000388_0000,0000000000_0000000262_0000,4,0
0000000000_0000000389_0000,0000000000_0000000262_0000,4,0
0000000000_0000000390_0000,0000000000_0000000263_0000,4,0
0000000000_0000000391_0000,0000000000_0000000263_0000,4,0
0000000000_0000000392_0000,0000000000_0000000263_0000,4,0
0000000000_0000000393_0000,0000000000_0000000262_0000,4,0
0000000000_0000000394_0000,0000000000_0000000263_0000,4,0
0000000000_0000000395_0000,0000000000_0000000262_0000,4,0
0000000000_0000000396_0000,0000000000_0000000262_0000,4,0
0000000000_0000000397_0000,0000000000_0000000262_0000,4,0
0000000000_0000000398_0000,0000000000_0000000262_0000,4,0
0000000000_0000000399_0000,0000000000_0000000262_0000,4,0
0000000000_0000000400_0000,0000000000_0000000262_0000,4,0
0000000000_0000000401_0000,0000000000_0000000262_0000,4,0
0000000000_0000000402_0000,0000000000_0000000263_0000,4,0
0000000000_0000000403_0000,0000000000_0000000262_0000,4,0
0000000000_0000000404_0000,0000000000_0000000263_0000,4,0
0000000000_0000000405_0000,0000000000_0000000262_0000,4,0
0000000000_0000000406_0000,0000000000_0000000263_0000,4,0
0000000000_0000000407_0000,0000000000_0000000262_0000,4,0
0000000000_0000000408_0000,0000000000_0000000263_0000,4,0
0000000000_0000000409_0000,0000000000_0000000263_0000,4,0
0000000000_0000000410_0000,0000000000_0000000263_0000,4,0
0000000000_0000000411_0000,0000000000_0000000263_0000,4,0
0000000000_0000000412_0000,0000000000_0000000263_0000,4,0
0000000000_0000000413_0000,0000000000_0000000263_0000,4,0
0000000000_0000000414_0000,0000000000_0000000263_0000,4,0
0000000000_0000000415_0000,0000000000_0000000263_0000,4,0
0000000000_0000000416_0000,0000000000_0000000263_0000,4,0
0000000000_0000000417_0000,0000000000_0000000263_0000,4,0
0000000000_0000000418_0000,0000000000_0000000263_0000,4,0
0000000000_0000000419_0000,0000000000_0000000263_0000,4,0
0000000000_0000000420_0000,0000000000_0000000263_0000,4,0
0000000000_0000000421_0000,0000000000_0000000263_0000,4,0
0000000000_0000000422_0000,0000000000_0000000263_0000,4,0
